dataset_name,parameter_combination,model_state_path,input_space_type,knn_Outcome_score,nn_Outcome_score,knn_batch_score,nn_batch_score,knn_Age_r2,nn_Age_r2,knn_Outcome_accuracy,nn_Outcome_accuracy
COMBAT_X_scANVI_Pool_ID,two_stages_True_stage2_joint_stage1val_loss_stage2val_knn,output/COMBAT_X_scANVI_Pool_ID_outcome_cl_two_stages_True_stage2_joint_stage1val_loss_stage2val_knn.pth,scANVI,0.75,0.375,0.8214285714285714,0.0,,,,
COMBAT_X_scANVI_Pool_ID,two_stages_True_stage2_joint_stage1val_loss_stage2val_nn,output/COMBAT_X_scANVI_Pool_ID_outcome_cl_two_stages_True_stage2_joint_stage1val_loss_stage2val_nn.pth,scANVI,0.75,0.375,0.7857142857142857,0.0,,,,
COMBAT_X_scANVI_Pool_ID,two_stages_True_stage2_joint_stage1val_loss_stage2val_loss,output/COMBAT_X_scANVI_Pool_ID_outcome_cl_two_stages_True_stage2_joint_stage1val_loss_stage2val_loss.pth,scANVI,0.75,0.375,0.8214285714285714,0.0,,,,
COMBAT_X_scANVI_Pool_ID,two_stages_False_stage2_only_supervised_with_agg_stage1val_knn_stage2val_knn,output/COMBAT_X_scANVI_Pool_ID_outcome_cl_two_stages_False_stage2_only_supervised_with_agg_stage1val_knn_stage2val_knn.pth,scANVI,0.8333333333333334,0.08333333333333333,0.7142857142857143,0.0,,,,
COMBAT_X_scANVI_Pool_ID,two_stages_False_stage2_only_supervised_with_agg_stage1val_knn_stage2val_nn,output/COMBAT_X_scANVI_Pool_ID_outcome_cl_two_stages_False_stage2_only_supervised_with_agg_stage1val_knn_stage2val_nn.pth,scANVI,0.8333333333333334,0.08333333333333333,0.7142857142857143,0.0,,,,
COMBAT_X_scANVI_Pool_ID,two_stages_False_stage2_only_supervised_with_agg_stage1val_knn_stage2val_loss,output/COMBAT_X_scANVI_Pool_ID_outcome_cl_two_stages_False_stage2_only_supervised_with_agg_stage1val_knn_stage2val_loss.pth,scANVI,0.8333333333333334,0.08333333333333333,0.7142857142857143,0.0,,,,
COMBAT_X_scANVI_Pool_ID,two_stages_False_stage2_only_supervised_with_agg_stage1val_loss_stage2val_knn,output/COMBAT_X_scANVI_Pool_ID_outcome_cl_two_stages_False_stage2_only_supervised_with_agg_stage1val_loss_stage2val_knn.pth,scANVI,0.8333333333333334,0.08333333333333333,0.7142857142857143,0.0,,,,
COMBAT_X_scANVI_Pool_ID,two_stages_False_stage2_only_supervised_with_agg_stage1val_loss_stage2val_nn,output/COMBAT_X_scANVI_Pool_ID_outcome_cl_two_stages_False_stage2_only_supervised_with_agg_stage1val_loss_stage2val_nn.pth,scANVI,0.8333333333333334,0.08333333333333333,0.7142857142857143,0.0,,,,
COMBAT_X_scANVI_Pool_ID,two_stages_False_stage2_only_supervised_with_agg_stage1val_loss_stage2val_loss,output/COMBAT_X_scANVI_Pool_ID_outcome_cl_two_stages_False_stage2_only_supervised_with_agg_stage1val_loss_stage2val_loss.pth,scANVI,0.8333333333333334,0.08333333333333333,0.7142857142857143,0.0,,,,
COMBAT_X_scANVI_Pool_ID,two_stages_False_stage2_joint_stage1val_knn_stage2val_knn,output/COMBAT_X_scANVI_Pool_ID_outcome_cl_two_stages_False_stage2_joint_stage1val_knn_stage2val_knn.pth,scANVI,0.8333333333333334,0.5833333333333334,0.6785714285714286,0.0,,,,
COMBAT_X_scANVI_Pool_ID,two_stages_False_stage2_joint_stage1val_knn_stage2val_nn,output/COMBAT_X_scANVI_Pool_ID_outcome_cl_two_stages_False_stage2_joint_stage1val_knn_stage2val_nn.pth,scANVI,0.8333333333333334,0.5416666666666666,0.7142857142857143,0.0,,,,
COMBAT_X_scANVI_Pool_ID,two_stages_False_stage2_joint_stage1val_knn_stage2val_loss,output/COMBAT_X_scANVI_Pool_ID_outcome_cl_two_stages_False_stage2_joint_stage1val_knn_stage2val_loss.pth,scANVI,0.9166666666666666,0.2916666666666667,0.75,0.0,,,,
COMBAT_X_scANVI_Pool_ID,two_stages_False_stage2_joint_stage1val_loss_stage2val_knn,output/COMBAT_X_scANVI_Pool_ID_outcome_cl_two_stages_False_stage2_joint_stage1val_loss_stage2val_knn.pth,scANVI,0.8333333333333334,0.5833333333333334,0.6785714285714286,0.0,,,,
COMBAT_X_scANVI_Pool_ID,two_stages_False_stage2_joint_stage1val_loss_stage2val_nn,output/COMBAT_X_scANVI_Pool_ID_outcome_cl_two_stages_False_stage2_joint_stage1val_loss_stage2val_nn.pth,scANVI,0.8333333333333334,0.5416666666666666,0.7142857142857143,0.0,,,,
COMBAT_X_scANVI_Pool_ID,two_stages_False_stage2_joint_stage1val_loss_stage2val_loss,output/COMBAT_X_scANVI_Pool_ID_outcome_cl_two_stages_False_stage2_joint_stage1val_loss_stage2val_loss.pth,scANVI,0.9166666666666666,0.2916666666666667,0.75,0.0,,,,
COMBAT_X_scVI_Pool_ID,two_stages_True_stage2_only_supervised_with_agg_stage1val_knn_stage2val_knn,output/COMBAT_X_scVI_Pool_ID_age_reg_two_stages_True_stage2_only_supervised_with_agg_stage1val_knn_stage2val_knn.pth,scVI,,,0.7142857142857143,0.10714285714285714,0.5408901110092678,-31.52857526811937,,
COMBAT_X_scVI_Pool_ID,two_stages_True_stage2_only_supervised_with_agg_stage1val_knn_stage2val_nn,output/COMBAT_X_scVI_Pool_ID_age_reg_two_stages_True_stage2_only_supervised_with_agg_stage1val_knn_stage2val_nn.pth,scVI,,,0.6785714285714286,0.10714285714285714,0.5494449536612691,-25.133983893890743,,
COMBAT_X_scVI_Pool_ID,two_stages_True_stage2_only_supervised_with_agg_stage1val_knn_stage2val_loss,output/COMBAT_X_scVI_Pool_ID_age_reg_two_stages_True_stage2_only_supervised_with_agg_stage1val_knn_stage2val_loss.pth,scVI,,,0.7142857142857143,0.10714285714285714,0.5408901110092678,-30.938281873633194,,
COMBAT_X_scVI_Pool_ID,two_stages_True_stage2_only_supervised_with_agg_stage1val_loss_stage2val_knn,output/COMBAT_X_scVI_Pool_ID_age_reg_two_stages_True_stage2_only_supervised_with_agg_stage1val_loss_stage2val_knn.pth,scVI,,,0.7142857142857143,0.10714285714285714,0.5408901110092678,-31.52857526811937,,
COMBAT_X_scVI_Pool_ID,two_stages_True_stage2_only_supervised_with_agg_stage1val_loss_stage2val_nn,output/COMBAT_X_scVI_Pool_ID_age_reg_two_stages_True_stage2_only_supervised_with_agg_stage1val_loss_stage2val_nn.pth,scVI,,,0.6785714285714286,0.10714285714285714,0.5494449536612691,-25.133983893890743,,
COMBAT_X_scVI_Pool_ID,two_stages_True_stage2_only_supervised_with_agg_stage1val_loss_stage2val_loss,output/COMBAT_X_scVI_Pool_ID_age_reg_two_stages_True_stage2_only_supervised_with_agg_stage1val_loss_stage2val_loss.pth,scVI,,,0.7142857142857143,0.10714285714285714,0.5408901110092678,-30.938281873633194,,
COMBAT_X_scVI_Pool_ID,two_stages_True_stage2_joint_stage1val_knn_stage2val_knn,output/COMBAT_X_scVI_Pool_ID_age_reg_two_stages_True_stage2_joint_stage1val_knn_stage2val_knn.pth,scVI,,,0.8214285714285714,0.0,0.5095223546185966,-9.40523371512265,,
COMBAT_X_scVI_Pool_ID,two_stages_True_stage2_joint_stage1val_knn_stage2val_nn,output/COMBAT_X_scVI_Pool_ID_age_reg_two_stages_True_stage2_joint_stage1val_knn_stage2val_nn.pth,scVI,,,0.7857142857142857,0.0,0.3669416437519095,-5.98433143496707,,
COMBAT_X_scVI_Pool_ID,two_stages_True_stage2_joint_stage1val_knn_stage2val_loss,output/COMBAT_X_scVI_Pool_ID_age_reg_two_stages_True_stage2_joint_stage1val_knn_stage2val_loss.pth,scVI,,,0.7857142857142857,0.10714285714285714,0.5579997963132703,-14.95171436586869,,
COMBAT_X_scVI_Pool_ID,two_stages_True_stage2_joint_stage1val_loss_stage2val_knn,output/COMBAT_X_scVI_Pool_ID_age_reg_two_stages_True_stage2_joint_stage1val_loss_stage2val_knn.pth,scVI,,,0.8214285714285714,0.0,0.5095223546185966,-9.40523371512265,,
COMBAT_X_scVI_Pool_ID,two_stages_True_stage2_joint_stage1val_loss_stage2val_nn,output/COMBAT_X_scVI_Pool_ID_age_reg_two_stages_True_stage2_joint_stage1val_loss_stage2val_nn.pth,scVI,,,0.7857142857142857,0.0,0.3669416437519095,-5.98433143496707,,
COMBAT_X_scVI_Pool_ID,two_stages_True_stage2_joint_stage1val_loss_stage2val_loss,output/COMBAT_X_scVI_Pool_ID_age_reg_two_stages_True_stage2_joint_stage1val_loss_stage2val_loss.pth,scVI,,,0.7857142857142857,0.10714285714285714,0.5579997963132703,-14.95171436586869,,
COMBAT_X_scVI_Pool_ID,two_stages_False_stage2_only_supervised_with_agg_stage1val_knn_stage2val_knn,output/COMBAT_X_scVI_Pool_ID_age_reg_two_stages_False_stage2_only_supervised_with_agg_stage1val_knn_stage2val_knn.pth,scVI,,,0.8214285714285714,0.03571428571428571,0.29850290253589973,-196.5615054583041,,
COMBAT_X_scVI_Pool_ID,two_stages_False_stage2_only_supervised_with_agg_stage1val_knn_stage2val_nn,output/COMBAT_X_scVI_Pool_ID_age_reg_two_stages_False_stage2_only_supervised_with_agg_stage1val_knn_stage2val_nn.pth,scVI,,,0.7857142857142857,0.0,0.33272227314390457,-65.28487224814303,,
COMBAT_X_scVI_Pool_ID,two_stages_False_stage2_only_supervised_with_agg_stage1val_knn_stage2val_loss,output/COMBAT_X_scVI_Pool_ID_age_reg_two_stages_False_stage2_only_supervised_with_agg_stage1val_knn_stage2val_loss.pth,scVI,,,0.8214285714285714,0.03571428571428571,0.29850290253589973,-176.42950938458443,,
COMBAT_X_scVI_Pool_ID,two_stages_False_stage2_only_supervised_with_agg_stage1val_loss_stage2val_knn,output/COMBAT_X_scVI_Pool_ID_age_reg_two_stages_False_stage2_only_supervised_with_agg_stage1val_loss_stage2val_knn.pth,scVI,,,0.8214285714285714,0.03571428571428571,0.29850290253589973,-196.5615054583041,,
COMBAT_X_scVI_Pool_ID,two_stages_False_stage2_only_supervised_with_agg_stage1val_loss_stage2val_nn,output/COMBAT_X_scVI_Pool_ID_age_reg_two_stages_False_stage2_only_supervised_with_agg_stage1val_loss_stage2val_nn.pth,scVI,,,0.7857142857142857,0.0,0.33272227314390457,-65.28487224814303,,
